left,right,match,prompt,completion,pred_ditto_new_wdc_small,pred_ditto_new_wdc_medium,pred_ditto_new_wdc_large
"title: Mens Citizen Eco-drive Gents Sports Strap Stainless Steel Watch AW1150-07A 
description: Citizen AW1150-07A is an amazing and special Gents watch. Case is made out of Stainless Steel and the White dial gives the watch that unique look. 100 metres water resistancy will protect the watch and allows it to get submerged in the water for everyday usage including swimming, but not high impact water sports. We ship it with an original box and a guarantee from the manufacturer. 
price: 149.00 
priceCurrency: GBP","title: Citizen Eco Drive Men's Watch BU2055-08X 
description: For a rugged look with a comfortable fit, this Citizen military inspired timepiece fits the bill. The Citizen Chandler is featured here in black ion-plated stainless steel case, tan Cordura® strap and sand colored dial. Added features include analog day/date and12/24-hour time. Featuring our Eco-Drive technology – powered by light, any light. Never needs a battery. Caliber number 8729. 
price: 275.0 
priceCurrency: USD",False,"title: Mens Citizen Eco-drive Gents Sports Strap Stainless Steel Watch AW1150-07A 
description: Citizen AW1150-07A is an amazing and special Gents watch. Case is made out of Stainless Steel and the White dial gives the watch that unique look. 100 metres water resistancy will protect the watch and allows it to get submerged in the water for everyday usage including swimming, but not high impact water sports. We ship it with an original box and a guarantee from the manufacturer. 
price: 149.00 
priceCurrency: GBP

###

title: Citizen Eco Drive Men's Watch BU2055-08X 
description: For a rugged look with a comfortable fit, this Citizen military inspired timepiece fits the bill. The Citizen Chandler is featured here in black ion-plated stainless steel case, tan Cordura® strap and sand colored dial. Added features include analog day/date and12/24-hour time. Featuring our Eco-Drive technology – powered by light, any light. Never needs a battery. Caliber number 8729. 
price: 275.0 
priceCurrency: USD

###

Same product?", no,True,False,True
"title: RAM Motorcycle Combination Base for Handlebar or Brake/Clutch Reservoir with 1\ Ball 
description: The RAM combination handlebar and brake/clutch reservoir base provides the ultimate flexibility for mounting to your motorcycle. Mount to either your handlebar or brake/clutch, almost infinite adjustment and perfect viewing angles are provided in this kitSpecificationsHardware: Standard or metric thread stainless steel bolts, provided in the kit. The zinc coated metal u-bolt accommodates rails in diameter from 0.50\ to 1.25\ in diameter.Material: Powder Coated Marine Grade AluminiumBall: B size 1\ rubberAccessoriesCompatibilityRelated ItemsNotesThe \U\ in the part number reflects product packaged in poly bag.InstructionsBrake/Clutch Reservoir Assembly Instructions 309-7 Series VideosWarranty RAM Warranty 
price: 3.795E1 
priceCurrency: AUD","title: Dutch Doobadoo Dutch Box Art stencil Merci A4 
price: 4.95 
priceCurrency: EUR",False,"title: RAM Motorcycle Combination Base for Handlebar or Brake/Clutch Reservoir with 1\ Ball 
description: The RAM combination handlebar and brake/clutch reservoir base provides the ultimate flexibility for mounting to your motorcycle. Mount to either your handlebar or brake/clutch, almost infinite adjustment and perfect viewing angles are provided in this kitSpecificationsHardware: Standard or metric thread stainless steel bolts, provided in the kit. The zinc coated metal u-bolt accommodates rails in diameter from 0.50\ to 1.25\ in diameter.Material: Powder Coated Marine Grade AluminiumBall: B size 1\ rubberAccessoriesCompatibilityRelated ItemsNotesThe \U\ in the part number reflects product packaged in poly bag.InstructionsBrake/Clutch Reservoir Assembly Instructions 309-7 Series VideosWarranty RAM Warranty 
price: 3.795E1 
priceCurrency: AUD

###

title: Dutch Doobadoo Dutch Box Art stencil Merci A4 
price: 4.95 
priceCurrency: EUR

###

Same product?", no,False,False,False
"title: Aquaracer Musta/Kumi Ø43 mm ref. WAY101A.FT6141 
price: 1259 
priceCurrency: EUR","title: Uni Posca Marker PC-5M 1.8-2.5MM Metallic Red 
price: 22.41 
priceCurrency: TRY",False,"title: Aquaracer Musta/Kumi Ø43 mm ref. WAY101A.FT6141 
price: 1259 
priceCurrency: EUR

###

title: Uni Posca Marker PC-5M 1.8-2.5MM Metallic Red 
price: 22.41 
priceCurrency: TRY

###

Same product?", no,False,False,False
"brand: Swiss Military Hanowa 
title: Relógio Swiss Military Hanowa06-5161.2.04.003 Flagship 
description: Steel Swiss Made Watch with Date 
price: 249.00 
priceCurrency: EUR","title: HyperX 32GB (2x16GB) 3000MHz CL15 Predator Black 
price: 725 
priceCurrency: PLN",False,"brand: Swiss Military Hanowa 
title: Relógio Swiss Military Hanowa06-5161.2.04.003 Flagship 
description: Steel Swiss Made Watch with Date 
price: 249.00 
priceCurrency: EUR

###

title: HyperX 32GB (2x16GB) 3000MHz CL15 Predator Black 
price: 725 
priceCurrency: PLN

###

Same product?", no,False,False,False
"title: Full Frame E-Mount FE20mm F1.8 Wide Angle G Lens 
description: Sony's latest optical technology achieves impressive corner-to-corner resolution from maximum F1.8 aperture in a large-aperture wide-angle prime lens. It is also remarkably compact, and matched with an E-mount body makes up a versatile, mobile system with outstanding AF performance, control, and reliability for a wide variety of shooting needs. 
price: 1649.0 
priceCurrency: AUD","title: FUJIFILM XF 8-16mm f/2.8 R LM WR Lens 
description: The FUJIFILM XF 8-16mm f/2.8 R LM WR Lens is an ultra-wide zoom lens characterized by a bright and advanced optical design. FUJIFILM XF 8-16mm f/2.8 R LM WR Lens features a constant f/2.8 maximum aperture for consistent performance throughout the zoom range. The optical layout comprises six extra-low dispersion elements, including three Super ED elements, which help to virtually eliminate chromatic aberrations and color fringing for greater clarity and color accuracy. Four aspherical elements are also used to suppress distortion, curvature of field, and spherical aberrations for improved sharpness. Also, a Nano-GI coating helps to control ghosting and flare for enhanced contrast and color fidelity when working in strong lighting conditions. Complementing the optics is a refined linear motor, which affords quick and quiet autofocus performance, and the lens body is weather-sealed in 11 distinct places to support working in trying environmental conditions. Impressively wide 
price: 1999.95 
priceCurrency: USD",False,"title: Full Frame E-Mount FE20mm F1.8 Wide Angle G Lens 
description: Sony's latest optical technology achieves impressive corner-to-corner resolution from maximum F1.8 aperture in a large-aperture wide-angle prime lens. It is also remarkably compact, and matched with an E-mount body makes up a versatile, mobile system with outstanding AF performance, control, and reliability for a wide variety of shooting needs. 
price: 1649.0 
priceCurrency: AUD

###

title: FUJIFILM XF 8-16mm f/2.8 R LM WR Lens 
description: The FUJIFILM XF 8-16mm f/2.8 R LM WR Lens is an ultra-wide zoom lens characterized by a bright and advanced optical design. FUJIFILM XF 8-16mm f/2.8 R LM WR Lens features a constant f/2.8 maximum aperture for consistent performance throughout the zoom range. The optical layout comprises six extra-low dispersion elements, including three Super ED elements, which help to virtually eliminate chromatic aberrations and color fringing for greater clarity and color accuracy. Four aspherical elements are also used to suppress distortion, curvature of field, and spherical aberrations for improved sharpness. Also, a Nano-GI coating helps to control ghosting and flare for enhanced contrast and color fidelity when working in strong lighting conditions. Complementing the optics is a refined linear motor, which affords quick and quiet autofocus performance, and the lens body is weather-sealed in 11 distinct places to support working in trying environmental conditions. Impressively wide 
price: 1999.95 
priceCurrency: USD

###

Same product?", no,False,False,False
"title: Cooler Master CPU Masterliquid ML120R ARGB 
description: Product details of Cooler Master MasterLiquid ML120R RGB AIO Cooler (MLX-D12M-A20PC-R1)120mm Radiator: Low Profile Dual Chamber Addressable RGB pump with Dual Addressable RGB Fans for Push and Pull Air FlowAddressable RGB Fans and Pump - Color option can be controlled through Cooler Master software CM PlusIncludes 1-to-3 Addressable RGB Splitter cable for multiple ARGB FansIncludes: Wired Addressable RGB Controller for non RGB Motherboards for customize colorsSleeved FEP Tubing's - Sleek Black Outer Sleeves with FEP Tubing's inside for Durable Lasting and Flexibility 
price: 399 
priceCurrency: MYR","title: Cooler Master MasterFan Cooling Fan 
description: The all new SF120M is Cooler Master's Flagship Case fan designed purely with performance in mind. It utilizes Cooler Master's Industrial Fan Structure, which decreases the flex of the fan blades while ensuring a quiet operation with maximum airflow. The Double-Ball Bearing decreases friction between the Fan and its bearings which further enhances the Fan/Blade performance ensuring a very long lifespan. The patented Damping Frame Design additionally increases stiffness of the overall Chassis and decreases Blade-Flex which further escalates the overall performance of the SF120M. Features: Patented Damping Frame Design- Absorbs unwanted vibration while maintaining its Chassis stiffness to ensure maximum performance. Double Ball-Bearings- Less friction means better performance and longevity. It will ensure a quiet yet high performance operation. Inter-Connecting Fan Blades - An Connected frame between the Fan-Blades Increase Airflow perforGeneral Information Manufacturer: Cool
price: 37.82 
priceCurrency: USD",False,"title: Cooler Master CPU Masterliquid ML120R ARGB 
description: Product details of Cooler Master MasterLiquid ML120R RGB AIO Cooler (MLX-D12M-A20PC-R1)120mm Radiator: Low Profile Dual Chamber Addressable RGB pump with Dual Addressable RGB Fans for Push and Pull Air FlowAddressable RGB Fans and Pump - Color option can be controlled through Cooler Master software CM PlusIncludes 1-to-3 Addressable RGB Splitter cable for multiple ARGB FansIncludes: Wired Addressable RGB Controller for non RGB Motherboards for customize colorsSleeved FEP Tubing's - Sleek Black Outer Sleeves with FEP Tubing's inside for Durable Lasting and Flexibility 
price: 399 
priceCurrency: MYR

###

title: Cooler Master MasterFan Cooling Fan 
description: The all new SF120M is Cooler Master's Flagship Case fan designed purely with performance in mind. It utilizes Cooler Master's Industrial Fan Structure, which decreases the flex of the fan blades while ensuring a quiet operation with maximum airflow. The Double-Ball Bearing decreases friction between the Fan and its bearings which further enhances the Fan/Blade performance ensuring a very long lifespan. The patented Damping Frame Design additionally increases stiffness of the overall Chassis and decreases Blade-Flex which further escalates the overall performance of the SF120M. Features: Patented Damping Frame Design- Absorbs unwanted vibration while maintaining its Chassis stiffness to ensure maximum performance. Double Ball-Bearings- Less friction means better performance and longevity. It will ensure a quiet yet high performance operation. Inter-Connecting Fan Blades - An Connected frame between the Fan-Blades Increase Airflow perforGeneral Information Manufacturer: Cool
price: 37.82 
priceCurrency: USD

###

Same product?", no,False,False,False
"title: SMX120RMBP2UAPC Smart-UPS X 120V External Battery Pack Rack/Tower 
price: 1.02 
priceCurrency: EUR","title: APC - Smart-UPS RT 192V RM Battery Pack - Batterihölje ( kan monteras i rack ) - 4 x Bly-syra - 6U - 19\ 
description: APC Smart-UPS RT 192V RM Battery Pack - Batterihölje ( kan monteras i rack ) - 4 x Bly-syra - 6U - 19\ (SURT192RMXLBP2) - Kapacitet: 0VA - Produkt: Extra batteri 
price: 35101.25 
priceCurrency: SEK",False,"title: SMX120RMBP2UAPC Smart-UPS X 120V External Battery Pack Rack/Tower 
price: 1.02 
priceCurrency: EUR

###

title: APC - Smart-UPS RT 192V RM Battery Pack - Batterihölje ( kan monteras i rack ) - 4 x Bly-syra - 6U - 19\ 
description: APC Smart-UPS RT 192V RM Battery Pack - Batterihölje ( kan monteras i rack ) - 4 x Bly-syra - 6U - 19\ (SURT192RMXLBP2) - Kapacitet: 0VA - Produkt: Extra batteri 
price: 35101.25 
priceCurrency: SEK

###

Same product?", no,False,False,False
"brand: Epson 
title: Epson C13T591800 K3 Matte Black 700ml 
description: C13T591800 K3 Matte Black 700mlC13T591800 K3 Matte Black 700ml 
price: 298.00 
priceCurrency: CHF","title: Epson Ink Cartridge - Matte Black 700ml 
description: Epson Ink Cartridge - Matte Black 700ml 
price: 262.17 
priceCurrency: GBP",False,"brand: Epson 
title: Epson C13T591800 K3 Matte Black 700ml 
description: C13T591800 K3 Matte Black 700mlC13T591800 K3 Matte Black 700ml 
price: 298.00 
priceCurrency: CHF

###

title: Epson Ink Cartridge - Matte Black 700ml 
description: Epson Ink Cartridge - Matte Black 700ml 
price: 262.17 
priceCurrency: GBP

###

Same product?", no,True,True,True
"title: APC Smart-UPS 1000VA/700W line interactive LCD RM 2U 230V with SmartConnect, 3 years warranty for UPS, only 2 years warranty for 
description: UPS APC Smart-UPS SMT line-interactive / sinusoidala 1000VA / 700W 4conectori C13 rackabil 2U, baterie APCRBC132, optional extindere garantie cu 1/3 ani (WBEXTWAR1YR-SP-03/WBEXTWAR3YR-SP-03) 
price: 3500.4802 
priceCurrency: RON","brand: Epson 
title: TONER EPSON S050193 CYAAN C1100 
description: Epson 0193 Toner. Single Pack. Cyaan 
price: 83.42 
priceCurrency: EUR",False,"title: APC Smart-UPS 1000VA/700W line interactive LCD RM 2U 230V with SmartConnect, 3 years warranty for UPS, only 2 years warranty for 
description: UPS APC Smart-UPS SMT line-interactive / sinusoidala 1000VA / 700W 4conectori C13 rackabil 2U, baterie APCRBC132, optional extindere garantie cu 1/3 ani (WBEXTWAR1YR-SP-03/WBEXTWAR3YR-SP-03) 
price: 3500.4802 
priceCurrency: RON

###

brand: Epson 
title: TONER EPSON S050193 CYAAN C1100 
description: Epson 0193 Toner. Single Pack. Cyaan 
price: 83.42 
priceCurrency: EUR

###

Same product?", no,True,False,False
"brand: Epson 
title: Ink Cartridge Genuine Black Epson T7741 Bottle - (C13T774140 Pigment) 
price: 12.840101 
priceCurrency: EUR","title: Brother LC-1220BK Ink Cartridge for DCP-J525W/DCP-J725DW/DCP-J925DW/MFC-J430W 
price: 37.00 
priceCurrency: BGN",False,"brand: Epson 
title: Ink Cartridge Genuine Black Epson T7741 Bottle - (C13T774140 Pigment) 
price: 12.840101 
priceCurrency: EUR

###

title: Brother LC-1220BK Ink Cartridge for DCP-J525W/DCP-J725DW/DCP-J925DW/MFC-J430W 
price: 37.00 
priceCurrency: BGN

###

Same product?", no,False,False,False
"title: Tissot Watch V8 Swissmatic Mens 
description: Tissot Watch V8 Swissmatic Mens T1064071103101. Tissot watches have kept the original spirit of race cars from 1960s in the design of this Tissot V8, while integrating the new Swissmatic movement. Aluminium material means the bezel can be coloured in blue or black, thus underlining the spirit of motorsports. Another bezel, in brushed stainless steel, offers a more masculine option. 
price: 390.00 
priceCurrency: GBP","title: Buy Quality Replica Panerai Luminor Base 8 Days Acciaio Mechanical Mens Watch PAM00561 
description: Quality AAA Replica Panerai Luminor Base 8 Days Acciaio Mechanical Mens Watch PAM00561 from online store for sale.",False,"title: Tissot Watch V8 Swissmatic Mens 
description: Tissot Watch V8 Swissmatic Mens T1064071103101. Tissot watches have kept the original spirit of race cars from 1960s in the design of this Tissot V8, while integrating the new Swissmatic movement. Aluminium material means the bezel can be coloured in blue or black, thus underlining the spirit of motorsports. Another bezel, in brushed stainless steel, offers a more masculine option. 
price: 390.00 
priceCurrency: GBP

###

title: Buy Quality Replica Panerai Luminor Base 8 Days Acciaio Mechanical Mens Watch PAM00561 
description: Quality AAA Replica Panerai Luminor Base 8 Days Acciaio Mechanical Mens Watch PAM00561 from online store for sale.

###

Same product?", no,False,False,False
"title: Canon RF24-105mm F4-7.1 IS STM 
description: The RF24-105mm F4-7.1 IS STM is a compact and lightweight RF-series lens that o ers a versatile zoom range, cap- turing di erent subjects with ease. For macro enthusiasts, the RF24-105mm F4-7.1 IS STM is particularly advantageous, o ering an impressive maximum magni cation of 0.5x using Center Macro Focus — helping you snap photos from as close as one inch away. Your images and videos will remain clear and steady, too, thanks to a leadscrew-type STM mo- tor that enables smooth autofocusing, and optical image stabilization with up to 5 stops of shake correction. And, witha control ring that allows for quick setting changes***, including shutter speed and aperture, the RF24-105mm F4-7.1 IS STM lens puts quality, convenience and control in your hands, making it perfect for landscapes, portraits, travel and more. 
price: 399.99 
priceCurrency: USD","title: Canon EF 24-105mm f4 L IS II USM 
price: 1029.00",False,"title: Canon RF24-105mm F4-7.1 IS STM 
description: The RF24-105mm F4-7.1 IS STM is a compact and lightweight RF-series lens that o ers a versatile zoom range, cap- turing di erent subjects with ease. For macro enthusiasts, the RF24-105mm F4-7.1 IS STM is particularly advantageous, o ering an impressive maximum magni cation of 0.5x using Center Macro Focus — helping you snap photos from as close as one inch away. Your images and videos will remain clear and steady, too, thanks to a leadscrew-type STM mo- tor that enables smooth autofocusing, and optical image stabilization with up to 5 stops of shake correction. And, witha control ring that allows for quick setting changes***, including shutter speed and aperture, the RF24-105mm F4-7.1 IS STM lens puts quality, convenience and control in your hands, making it perfect for landscapes, portraits, travel and more. 
price: 399.99 
priceCurrency: USD

###

title: Canon EF 24-105mm f4 L IS II USM 
price: 1029.00

###

Same product?", no,True,True,True
"brand: Corsair 
title: Corsair Fan ML140 RGB LED PWM Single Pack Magnetic Levitation 
description: Corsair Fan ML140 RGB LED PWM Single Pack Magnetic Levitation 
price: 0","brand: Corsair 
title: Corsair ML140 140mm Premium Magnetic Levitation Fan Twin Pack 
description: Corsair ML140 140mm Premium Magnetic Levitation Fan Twin Pack available to buy online from PC Case Gear – Australia’s Premier Online PC Store. 
price: 59 
priceCurrency: AUD",False,"brand: Corsair 
title: Corsair Fan ML140 RGB LED PWM Single Pack Magnetic Levitation 
description: Corsair Fan ML140 RGB LED PWM Single Pack Magnetic Levitation 
price: 0

###

brand: Corsair 
title: Corsair ML140 140mm Premium Magnetic Levitation Fan Twin Pack 
description: Corsair ML140 140mm Premium Magnetic Levitation Fan Twin Pack available to buy online from PC Case Gear – Australia’s Premier Online PC Store. 
price: 59 
priceCurrency: AUD

###

Same product?", no,True,False,False
"title: iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni 
description: Front Glass Digitizer Panel4.7 inch, 750 x 1334 pixel IPS LCD DisplayFront Camera AssemblyEarpiece SpeakerLCD Shield PlateCable Foam PadsSensor Bracket 
price: 59.99 
priceCurrency: USD","title: iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni 
description: Front Glass Digitizer Panel3.5 inch IPS LCD (640 x 960 pixel) DisplayFront Camera BezelSpeaker Mesh 
price: 39.99 
priceCurrency: USD",False,"title: iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni 
description: Front Glass Digitizer Panel4.7 inch, 750 x 1334 pixel IPS LCD DisplayFront Camera AssemblyEarpiece SpeakerLCD Shield PlateCable Foam PadsSensor Bracket 
price: 59.99 
priceCurrency: USD

###

title: iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni 
description: Front Glass Digitizer Panel3.5 inch IPS LCD (640 x 960 pixel) DisplayFront Camera BezelSpeaker Mesh 
price: 39.99 
priceCurrency: USD

###

Same product?", no,True,True,True
"brand: TP-Link 
title: TP-Link Tl-Wa901nd Max Range 300Mbps Access Point 
price: 599 
priceCurrency: SEK","title: ACCESS POINT TP-LINK WIRELESS N 300MBPS EAP115 
price: 287.94 
priceCurrency: BRL",False,"brand: TP-Link 
title: TP-Link Tl-Wa901nd Max Range 300Mbps Access Point 
price: 599 
priceCurrency: SEK

###

title: ACCESS POINT TP-LINK WIRELESS N 300MBPS EAP115 
price: 287.94 
priceCurrency: BRL

###

Same product?", no,False,False,False
"title: Canon EF 400mm f2.8L IS III USM Lens 
description: The best sports lens just got better! The Canon EF 400mm f2.8L lens has always been known as the go-to sports photographers lens and this new mark III version has some big improvements. You now have a lighter, more compact and sharper image performance thanks to a new design and a 5-stop stabilisation system.FREE 48HR Test Drive available on this lens - Click here to book your Test Drive > 
price: 12129.00 
priceCurrency: GBP","title: Copyway Compatible Toner Samsung CLT-K406S Black - Premium 
description: Yield Page : 1500Printers to be used with : SAMSUNG CLP-360/365/366/365W/368SAMSUNG CLX-3300/3305/3305W/3305FW/3305FN 
price: 17.00 
priceCurrency: USD",False,"title: Canon EF 400mm f2.8L IS III USM Lens 
description: The best sports lens just got better! The Canon EF 400mm f2.8L lens has always been known as the go-to sports photographers lens and this new mark III version has some big improvements. You now have a lighter, more compact and sharper image performance thanks to a new design and a 5-stop stabilisation system.FREE 48HR Test Drive available on this lens - Click here to book your Test Drive > 
price: 12129.00 
priceCurrency: GBP

###

title: Copyway Compatible Toner Samsung CLT-K406S Black - Premium 
description: Yield Page : 1500Printers to be used with : SAMSUNG CLP-360/365/366/365W/368SAMSUNG CLX-3300/3305/3305W/3305FW/3305FN 
price: 17.00 
priceCurrency: USD

###

Same product?", no,False,False,False
"brand: Maxxis 
title: Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black 
price: 88.00 
priceCurrency: CAD","title: SONY BRAVIA KDL32WE613BU 32\ HDR LED TV 
description: Top features:- HDR helps to brings detail to life- Smart TV offers you access to a range of entertainment options- Record your favourite TV shows to ensure you never miss a thingHDRThe SonyBRAVIA KDL32WE613BU 32\ HDR LED TVfeatures HDR technology which helps to bring your entertainment to life. This allows you to see the details in the brightest and darkest scenes, whether you are playing a console game or streaming content through an online service.X-Reality PRO upscales and refines the pictures on screen for enhanced clarity, while Motionflow XR technology delivers smooth and sharp images even in fast-paced action scenes.Smart TVCatch up on your favourite TV shows, stream films and browse the web using theBRAVIA KDL32WE613BU. With access to services such as BBC iPlayer, Netflix and YouTube, you can always find something to keep everybody entertained.Record your favourite TV showsThe32WE613BUfeatures a range of connection options to create your ideal home entertainment se
price: 3.19E2 
priceCurrency: EUR",False,"brand: Maxxis 
title: Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black 
price: 88.00 
priceCurrency: CAD

###

title: SONY BRAVIA KDL32WE613BU 32\ HDR LED TV 
description: Top features:- HDR helps to brings detail to life- Smart TV offers you access to a range of entertainment options- Record your favourite TV shows to ensure you never miss a thingHDRThe SonyBRAVIA KDL32WE613BU 32\ HDR LED TVfeatures HDR technology which helps to bring your entertainment to life. This allows you to see the details in the brightest and darkest scenes, whether you are playing a console game or streaming content through an online service.X-Reality PRO upscales and refines the pictures on screen for enhanced clarity, while Motionflow XR technology delivers smooth and sharp images even in fast-paced action scenes.Smart TVCatch up on your favourite TV shows, stream films and browse the web using theBRAVIA KDL32WE613BU. With access to services such as BBC iPlayer, Netflix and YouTube, you can always find something to keep everybody entertained.Record your favourite TV showsThe32WE613BUfeatures a range of connection options to create your ideal home entertainment se
price: 3.19E2 
priceCurrency: EUR

###

Same product?", no,False,False,False
"brand: Maxxis 
title: Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black 
price: 88.00 
priceCurrency: CAD","title: Maxxis High Roller II 27.5 Tire - 3C MT EXO TR / 2.4 
description: An open and aggressive tread design gives the High Roller II excellent soil penetration and mud-clearing ability. A square profile provides a solid consistent feel across the knobs. Modified knobs on the shoulder and center improve braking performance and traction on hard surfaces. An excellent choice for technical terrain. 
price: 75.00 
priceCurrency: USD",False,"brand: Maxxis 
title: Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black 
price: 88.00 
priceCurrency: CAD

###

title: Maxxis High Roller II 27.5 Tire - 3C MT EXO TR / 2.4 
description: An open and aggressive tread design gives the High Roller II excellent soil penetration and mud-clearing ability. A square profile provides a solid consistent feel across the knobs. Modified knobs on the shoulder and center improve braking performance and traction on hard surfaces. An excellent choice for technical terrain. 
price: 75.00 
priceCurrency: USD

###

Same product?", no,True,False,False
"title: GeForce® GTX 1660 SUPER™ Phoenix OC PH-GTX1660S-O6G, 1530 - 1830MHz, 6GB GDDR6, Graphics Card 
description: ASUS Phoenix GeForce® GTX 1660 SUPER™ OC edition 6GB GDDR6 (PH-GTX1660S-O6G). Packs a Punch. The ASUS Phoenix GeForce® GTX 1660 SUPER™ is a high definition powerhouse packed into a compact layout. It boasts a large single fan with a Wing-blade design that has trickled down from top tier cards. This gives the Phoenix a performance boost over the competition, while keeping its size small enough to be compatible with most modern chassis. Just like its namesake, the Phoenix also boasts a long lifespan with features like IP5X dust resistance, dual ball fan bearings, and Auto-Extreme Technology. If you're looking for a nimble sidekick that will keep pushing pixels for years to come, the Phoenix is your beast. 
price: 248.57 
priceCurrency: USD","brand: Asus 
title: ASUS VGA NVIDIA DUAL-GTX1660S-O6G-EVO, GTX 1660 SUPER, 6GB GDDR6, 1x DVI, 1x HDMI, 1xDP 
description: DUAL-GTX1660S-O6G-EVO ASUS Dual GeForce® GTX 1660 SUPER™ OC Edition 6GB GDDR6 EVO rocks high refresh rates for an FPS advantage without breaking a sweat.OC Edition: Boost Clock 1860 MHz (OC Mode)/ 1830 MHz (Gaming Mode) The GeForce GTX 1660 SUPER is up to 20% faster than the original GTX 1660 and up to 1.5X faster than the previous-generation GTX 1060 6GB. Powered by the award-winning NVIDIA Turing™ architecture and ultra-fast GDDR6 memory, it’s a supercharger for today’s most popular games. Time to gear up and get SUPER. Ultra-fast GDDR6 with over 50% more memory bandwidth for high-speed gaming. GeForce Experience: Capture and share videos, screenshots, and livestreams with friends. Keep your drivers up-to-date and optimize game settings. GeForce Experience lets you do it all, making it the essential companion to your GeForce graphics card. Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressu
price: 262 
priceCurrency: EUR",False,"title: GeForce® GTX 1660 SUPER™ Phoenix OC PH-GTX1660S-O6G, 1530 - 1830MHz, 6GB GDDR6, Graphics Card 
description: ASUS Phoenix GeForce® GTX 1660 SUPER™ OC edition 6GB GDDR6 (PH-GTX1660S-O6G). Packs a Punch. The ASUS Phoenix GeForce® GTX 1660 SUPER™ is a high definition powerhouse packed into a compact layout. It boasts a large single fan with a Wing-blade design that has trickled down from top tier cards. This gives the Phoenix a performance boost over the competition, while keeping its size small enough to be compatible with most modern chassis. Just like its namesake, the Phoenix also boasts a long lifespan with features like IP5X dust resistance, dual ball fan bearings, and Auto-Extreme Technology. If you're looking for a nimble sidekick that will keep pushing pixels for years to come, the Phoenix is your beast. 
price: 248.57 
priceCurrency: USD

###

brand: Asus 
title: ASUS VGA NVIDIA DUAL-GTX1660S-O6G-EVO, GTX 1660 SUPER, 6GB GDDR6, 1x DVI, 1x HDMI, 1xDP 
description: DUAL-GTX1660S-O6G-EVO ASUS Dual GeForce® GTX 1660 SUPER™ OC Edition 6GB GDDR6 EVO rocks high refresh rates for an FPS advantage without breaking a sweat.OC Edition: Boost Clock 1860 MHz (OC Mode)/ 1830 MHz (Gaming Mode) The GeForce GTX 1660 SUPER is up to 20% faster than the original GTX 1660 and up to 1.5X faster than the previous-generation GTX 1060 6GB. Powered by the award-winning NVIDIA Turing™ architecture and ultra-fast GDDR6 memory, it’s a supercharger for today’s most popular games. Time to gear up and get SUPER. Ultra-fast GDDR6 with over 50% more memory bandwidth for high-speed gaming. GeForce Experience: Capture and share videos, screenshots, and livestreams with friends. Keep your drivers up-to-date and optimize game settings. GeForce Experience lets you do it all, making it the essential companion to your GeForce graphics card. Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressu
price: 262 
priceCurrency: EUR

###

Same product?", no,True,False,False
"title: T7 Portable SSD - 2TB Indigo Blue 
description: Light and pocket-sized, the Portable SSD T7 both delivers fast speeds and safeguards data for an easy way to store and transfer large files. Experience everyday high performance in your work and play with the T7. 
price: 639.99 
priceCurrency: NZD","brand: Cooler Master 
title: Cooler Master MasterBox Lite 5 ATX Case Windowed MCW-L5S3-KANN-01 | PCByte 
description: Motherboard compatibility :ATX, Micro-ATX, Mini-ITXEdge to edge transparent acrylic side panelExpansion slot : 7Storage slot :2x Combo 3.5 
price: 85.0 
priceCurrency: AUD",False,"title: T7 Portable SSD - 2TB Indigo Blue 
description: Light and pocket-sized, the Portable SSD T7 both delivers fast speeds and safeguards data for an easy way to store and transfer large files. Experience everyday high performance in your work and play with the T7. 
price: 639.99 
priceCurrency: NZD

###

brand: Cooler Master 
title: Cooler Master MasterBox Lite 5 ATX Case Windowed MCW-L5S3-KANN-01 | PCByte 
description: Motherboard compatibility :ATX, Micro-ATX, Mini-ITXEdge to edge transparent acrylic side panelExpansion slot : 7Storage slot :2x Combo 3.5 
price: 85.0 
priceCurrency: AUD

###

Same product?", no,False,False,False
