left,right,match,pred_ditto_xl,pred_chatgpt_0
title: Raymond Weil Ladies' Nabucco BRIT Awards 2014 Limited Edition Titanium Automatic Chronograph Diamond Watch Ladies' Watch (7700-TIR-BRIT14) - WATCH SHOP.com™,title: Ladies Sekonda Editions Watch 2463 Ladies Watches | Designer For Women The Hut,False,False,False
title: Daniel Wellington Classic Man Black Cornwall silver silver 10:35 Watch boutique,title: Daniel Wellington Classic Man Reading silver silver 10:35 Horloge boektiek,False,False,False
title: Raymond Weil Tango Watch 5391-STP-00308 Shop Raymond 5391-STP-00995 Watches | Costello Jewelry Company,title: Raymond Weil Tango Watch 5391-ST-00995 Shop Raymond 5960-STS-00995 Watches | Costello Jewelry Company,False,False,False
title: Alpina Pilot Quartz Chronograph Watch AL-372BGR4S6 Shop Alpina AL-372LBBG4FBV6 | Moyer Fine Jewelers,title: ArtCarved Classic Engagement Ring 31-V734ERW-E Shop ArtCarved 31-V226ERW-E rings | Northeastern Fine Jewelry,False,False,False
title: Daniel Wellington Men's Dapper 38mm Bristol Watch Men's Watch (DW00100090) - WATCH SHOP.com™,title: Bvlgari Bvlgari Watch BBL33C11SPG 12 BBLP33WGDL 12 | Dejaun Jewelers,False,False,False
title: Suunto M2 - Black  Suunto Accessories Black,title: Suunto M2 Black Watch SS015854000  | Dutyfreeislandshop.com,True,True,True
title: Classic Black Cornwall Silver 40mm Daniel Wellington Classic 40mm nur 159 00 €,title: Daniel Wellington Classic Man Black Cornwall silver silver 10:35 Watch boutique,True,True,True
title: Polar V800 Watch - Black/Silver  Accessories Polar Black/Silver 92052229,title: Polar M400 - Black HR  Polar HR Accessories 90051341,False,False,False
title: Omega Seamaster 300m 2531.80.00 2531.80.00 Watch | Watchfinder & Co.,title: Omega Seamaster 300m 2254.50.00 2254.50.00 Watch | Watchfinder & Co.,False,False,False
title: SUUNTO AMBIT 3 PEAK BLACK BLACK - TREKKING GPS Suunto colour Black SS020677000 Athletic footwear apparel and sports equipment,"title: Charge 2 Fitness Wristband (Large, Black) Fitbit (Large FB407SBKL B&H",False,False,False
title: Skagen SKW6237 Holst mens watch,title: Herren Skagen Holst Uhr SKW6237,True,True,True
title: Seiko Men's Prospex Diver Automatic Watch Men's Watch (SRP775K1) - WATCH SHOP.com™,title: Tissot Men's PR100 Chronograph Watch Men's Watch (T1014171103100) - WATCH SHOP.com™,False,False,False
title: Casio Men's G-Shock Rangeman Alarm Chronograph Radio Controlled Watch Men's Watch (GW-9400-1ER) - WATCH SHOP.com™,title: Casio Men's Classic Alarm Chronograph Watch Men's Watch (AQ-230A-1DMQYES) - WATCH SHOP.com™,False,False,False
title: DANIEL WELLINGTON Men's Glasgow Silver 36mm Watch  DANIEL DW00100047 £72.00 - TheWatchSuperstore.com™,title: Daniel Wellington Men's Glasgow 40mm Watch Men's Watch (DW00100004) - WATCH SHOP.com™,False,False,False
title: Michael Kors MK3192 Darci watch,title: DKNY NY2502 Minetta watch,False,False,False
title: Cartier CartierCartier Santos Dumont Watch WH100351,"title: Cartier, CartierCartier Santos Dumont 18kt Rose Gold Ladies Watch W2009251",False,False,True
title: Cartier CartierCartier New Santos Series Men's Watch W20090 x 8,title: Silver New Color Earrings with Quartzite  Silver - Tous,False,False,False
title: Hamilton Jazzmaster Chrono Quartz Watch H32612555,title: Skagen SKW2075 Watch,False,False,False
title: Cartier Santos 100 Watch W20072X7 Shop Cartier W20106X8 Watches | Northeastern Fine Jewelry,title: Cartier Santos De Cartier 100,False,True,False
title: Daniel Wellington Classic Man Black Sheffield silver silver 10:35 Watch boutique,title: Ladies Daniel Wellington Sheffield Silver 36mm Watch DW00100053,False,False,False
title: Casio Edifice ECW-M300EDB-1AER Solar Wave Ceptor Watch Casio Racing -,title: Casio Edifice EF-121D-1AVEF EF-121D-1AVEF - Casio Watches,False,False,False
title: Cartier CartierCartier Classic Santos Series Men's Watch W20099C4,title: Cartier CartierCartier Classic Santos Series Men's Watch W20055D6,False,False,False
title: Tissot T-Sport V8 Chronograph Men's Watch T36131672  Tissot T36131672 | watchtag.com,title: Tissot Men's T-Touch Classic Alarm Chronograph Watch Men's Watch (T0834201105700) - WATCH SHOP.com™,False,False,False
title: Michele Serein Watch MWW21A000001 Shop Michele MWW21A000008 Watches | Northeastern Fine Jewelry,title: Hamilton Jazzmaster Lady Quartz Watch H42211155,False,False,False
title: Suunto M2 - Black  Suunto Accessories Black,title: Polar Loop 2 - Smokey Black  Polar Running Accessories Black,False,False,False
title: Cartier Santos 100 Watch W20126X8 Shop Cartier W20126X8 Watches | Northeastern Fine Jewelry,title: Cartier Santos 100 Automatic Medium Steel Steel W20126X8 on Watch Agora,True,True,True
title: Cartier CartierCartier Classic Santos Series Men's Watch W20099C4,"title: Cartier, CartierCartier Pasha Series Men's Watch W31077U2",False,False,False
title: Omega Speedmaster 311.30.42.30.01.005,title: Omega Speedmaster Watch 311.30.42.30.01.005 Speedmaster,True,True,True
title: Glasgow Rose Gold Ladies´ Watch 36mm Daniel Wellington Glasgow 36mm nur € 111.20,title: Orchard Watch RumbaTime Orchard Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17,False,False,False
title: Michele Deco Mid Watch MWW06V000002 Shop Michele MWW06V000003 Watches | Northeastern Fine Jewelry,title: ArtCarved Classic Engagement Ring 31-V219ERW-E Shop ArtCarved 31-V331ERW-E rings | Northeastern Fine Jewelry,False,False,False
title: Seiko Astron Men's GPS Titanium Chronograph Watch Men's Watch (SSE047J1) - WATCH SHOP.com™,title: Seiko Solar Chronograph Alarm 100m Men's Watch SSC437P1  | Dutyfreeislandshop.com,False,False,False
title: watch Max Bill Junghans watch Bill 027/4002.44 nur € 955.00,title: Junghans Men's Max Bill Automatic Watch Men's Watch (027/4002.44) - WATCH SHOP.com™,True,True,True
title: SUUNTO AMBIT 3 PEAK BLACK HR HR - TREKKING GPS Suunto colour Black SS020674000 Athletic footwear apparel and sports equipment,title: Suunto Ambit 3 Sports with HR - Black  Suunto Heart Rate Accessories Black,False,False,True
title: Seiko 5 Automatic 24 Jewels Men's 100m Rubber Sports Watch SRP601K1  | Dutyfreeislandshop.com,title: Seiko Prospex 24 jewels Automatic 200m Diver Black & Blue Men's Watch SRP581K1  | Dutyfreeislandshop.com,False,False,False
title: Seiko Automatic Divers Rubber Band SKX007K1 SKX007K Mens Watch Watch - DownUnderWatches,title: Tissot Men's Le Locle Automatic Watch Men's Watch (T41148353) - WATCH SHOP.com™,False,False,False
title: Daniel Wellington Ladies' Sheffield Silver 36mm Watch Ladies' Watch (DW00100053) - WATCH SHOP.com™,title: Daniel Wellington Ladies' Bristol Silver 36mm Watch Ladies' Watch (DW00100056) - WATCH SHOP.com™,False,False,False
title: Raymond Weil Toccata Watch 5988-ST-00300 Shop Raymond 5988-STP-97081 Watches | Costello Jewelry Company,title: Ladies Raymond Weil Toccata Watch 5988-ST-00300 Raymond Watches,True,True,True
title: Omega Seamaster Chrono Diver 2599.80.00 2599.80.00 Watch | Watchfinder & Co.,title: Carl F Bucherer Power Reserve Watch 00.10912.08.13.01 Shop Carl 00.10912.08.13.21 Watches | Costello Jewelry Company,False,False,False
title: Cartier Ronde Louis Cartier Watch W6800151 Shop WR000551 Watches | Northeastern Fine Jewelry,title: Cartier Ronde Louis Cartier Watch W6800151 Shop WR000251 Watches | Northeastern Fine Jewelry,True,True,False
title: Mens Casio Edifice Waveceptor Alarm Chronograph Radio Controlled Solar Powered Watch ECW-M300EDB-1AER,title: Casio Edifice ECW-M300EDB-1AER Solar Wave Ceptor Watch Casio Racing -,True,True,True
title: Omega Seamaster Chrono Diver 2599.80.00 2599.80.00 Watch | Watchfinder & Co.,"title: 14K White Gold, Diamond Solitaire Earrings, 1.00 ctw. ctw. - Fall Bridal Catalog 2017 Wedding Earrings Gold",False,False,False
title: Casio G-Shock GA-100-1A4ER GA-100-1A4ER - Casio Watches,title: Casio Wave Ceptor WV-58DE-1A WV-58DE-1A - Casio WaveCeptor Watches,False,False,False
title: Casio Men's Pro-Trek Alarm Chronograph Watch Men's Watch (PRG-300-1A2ER) - WATCH SHOP.com™,title: Tissot Men's Visodate Automatic Watch Men's Watch (T0194303603101) - WATCH SHOP.com™,False,False,False
title: Alpina Pilot Quartz Chronograph Watch AL-372BGR4S6 Shop Alpina AL-372LBBG4FBV6 | Moyer Fine Jewelers,title: Parade Hemera Wedding Band R2712-R1-BD Shop Parade R3152-R1-BD bands | Mitchum Jewelers,False,False,False
title: TAG HEUER CARRERA Calibre 5 Day-Date Automatikuhr 100 M - ∅41 mm WAR201E.FC6292  TAG Heuer Carrera Automatic Watch 41 | watch price,title: TAG HEUER AQUARACER Calibre 5 Orologio automatico 300 M - ∅41 mmLunetta in ceramica WAY211B.FC6363  TAG Heuer Aquaracer Automatic Watch 41 mm | watch price,False,False,False
title: Seiko Automatic Divers Rubber Band SKX007K1 SKX007K Mens Watch Watch - DownUnderWatches,title: Seiko Men's Automatic Watch Men's Watch (SSA231K1) - WATCH SHOP.com™,False,False,False
title: Junghans Men's Meister Kalendar Automatic Watch Men's Watch (027/4200.00) - WATCH SHOP.com™,title: Bvlgari Solotempo Watch BGOP38WGLD BGO41BBSVD | Dejaun Jewelers,False,False,False
title: Hamilton American Classic Valiant Quartz Watch H39251194,title: Hamilton American Classic Valiant Auto Watch H39415654,False,False,False
title: Cartier Pasha W31079M7 W31079M7 Watch | Watchfinder & Co.,title: Panerai Radiomir Watch PAM00388 Shop Panerai PAM00424 Watches | Northeastern Fine Jewelry,False,False,False
title: Michele Serein Watch MWW21A000058 Shop Michele MWW21A000001 Watches | Northeastern Fine Jewelry,title: Michele Serein Watch MWW21A000008 Shop Michele MWW21A000001 Watches | Northeastern Fine Jewelry,False,False,False
"title: Cartier, CartierCartier Must 21 Series Men's Watch W10125U2",title: Cartier Must 21 W10125U2 W10125U2 Watch | Watchfinder & Co.,True,True,True
"title: Cartier, CartierCartier Must 21 Series Men's Watch W10125U2",title: Cartier Must 21 W10125U2 W10125U2 Watch | Watchfinder & Co.,True,True,True
"title: Cartier, CartierCartier Must 21 Series Men's Watch W10125U2",title: Cartier Must 21 W10125U2 W10125U2 Watch | Watchfinder & Co.,True,True,True
"title: Cartier, CartierCartier Must 21 Series Men's Watch W10125U2",title: Cartier Must 21 W10125U2 W10125U2 Watch | Watchfinder & Co.,True,True,True
title: Seiko Men's Prospex Diver Automatic Watch Men's Watch (SRP775K1) - WATCH SHOP.com™,title: Seiko SRP775K1 Prospex watch,True,True,True
title: Michael Kors MK3192 Darci watch,title: Ladies Michael Kors Darci Watch MK3192 Brands,True,True,True
title: Polar V800 Watch - Black/Silver  Accessories Polar Black/Silver 92052229,title: Polar USA Unisex FT4 Green/Green Watch  Polar | Fitness Gear Express,False,False,False
