left,right,match,pred_ditto_xl,pred_chatgpt_0,pred_finetune_ada,pred_finetune_curie,pred_finetune_ada_large,pred_finetune_curie_large
title: Canon - EF 70–300mm f/4–5.6L IS USM Telephoto Zoom Lens White,title: Metabones Canon EF to Emount T Speed Booster ULTRA 0.71x 0.71x LN78442 - MB_SPEF-E-BT2 | SCAN UK,False,False,False,False,True,False,True
title: GoPro HD Cameras AWALC-001  GoPro AWALC-001: Wall Charger With Adapters | JEGS,title: Canon EF 50mm f/1.4 USM  Canon USM Standard prime lens for EOS SLR cameras at Crutchfield.com,False,False,False,False,False,False,False
title: Sony Cyber-Shot DSC-RX100 (Black) Aden Camera  Digital Cameras  Sony (Black) | SLR Toronto Canada Store,title: GoPro HERO3+ Black Edition Camera Camera - Fumfie.com,False,False,False,False,False,False,False
title: GoPro HDMI Cable Cable AHDMC-301 - Filmtools,title: GoPro HERO3 HDMI-Micro HDMI Cable - AHDMC-301,True,True,True,True,True,True,True
title: D-Link DCS-2132L HD Wireless N Cube Network Camera Camera - Black Friday 2017,title: Wireless N Day & Night Pan/Tilt Cloud Camera DCS-5020L Wireless Camera | D-Link,False,False,True,False,True,False,False
title: Canon EOS Rebel T5 with 18-55mm and 75-300mm Lenses Digital Cameras - Page 18 | EISF,title: Canon EOS Rebel SL1 Digital SLR with 18-55mm STM Lens Digital Cameras - Page 7 | EISF,False,False,False,False,False,False,False
title: Sony DSC-RX100/B 20.2 MP Exmor CMOS Sensor Digital Camera with 3.6x Zoom Digital Cameras - Page 5 | EISF,title: Sony Cyber-shot® DSC-RX100  Sony DSC-RX100 Large-sensor compact digital camera with 20.2-megapixels and an f/1.8 Carl Zeiss® lens at Crutchfield.com,True,False,True,True,True,False,True
"title: Arlo Security System - 3 Wire-Free HD Cameras, Indoor/Outdoor, Night Vision (VMS3330) Surveillance Systems | EISF",title: Full HD PoE Day/Night Network Camera DCS-2210L Full Camera | D-Link,False,False,False,False,False,False,True
title: Canon EOS 6D (Body)   Canon | Digital SLR Camera Cameras Toronto Canada Store Aden,title: GoPro Dual - battery charger USB  GoPro USB AHBBP301 Digital Camera Accessories CDWG.com,False,False,False,False,False,False,True
title: Canon BG-E21 Battery Grip for EOS 6D Mark II II 2130C001 - Media Distributors,title: Canon EOS 6D - digital camera  Canon camera 8035B002 Digital Cameras CDW.com,False,False,True,False,True,False,False
title: GoPro - HERO6 Black 4K Action Camera,title: GoPro - HERO5 Black 4K Action Camera,False,False,False,False,False,False,False
"title: D-Link DCS 7010L HD Mini Bullet Outdoor Network Camera - network surveillance camera , D-Link camera Prices CNET",title: Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera DCS-7010L Outdoor Camera | D-Link,True,True,True,True,True,True,True
title: Full HD Wireless Day Night Network Camera DCS-2230L Full Camera | D-Link UK,title: Wireless AC Day/Night Camera with Colour Night Vision DCS-2136L Wireless Vision | D-Link UK,False,False,False,False,True,False,True
title: Aluratek ADPF08SF 8-Inch Digital Photo Frame -800x600 Hi Resolution Lighting & Studio - Page 211 | EISF,title: ViewSonic VFD820-50 8-Inch Digital Photo Frame (Black) Lighting & Studio | Ultimate Camera Shop,False,False,False,False,True,True,True
title: Sony HXR-NX100 Full HD NXCAM Camcorder Inc. Inc. Sony Camcorder - Professional Video Cameras Pro E.C. Systems E.C.,"title: HXR-NX100 Camcorder NXCAM, CMOS Exmor™ R da 1, ottica zoom 48x - (XAVC S, AVCHD e DV) 1 S NXCAM",True,True,True,True,True,True,True
title: Sony SEL55210 55-210mm f/4.5-6.3  Sony f/4.5-6.3 (Silver) Telephoto zoom lens for APS-C sensor E-mount mirrorless cameras at Crutchfield.com,title: Sony SEL1670Z 16-70mm f/4  Sony f/4 Zoom lens for APS-C sensor E-mount mirrorless cameras at Crutchfield.com,False,False,False,False,False,False,True
title: Nikkor AF-D 50mm f/1.8 f/1.8 - Nikon Standard Lens Our brands,title: Nikkor AF 50mm f1.8D Aden Camera   Nikkor f1.8D | Digital SLR Cameras Toronto Canada Store,True,False,True,True,True,True,True
title: HD C310 720p High Definition USB Webcam 960-000585 - LOGITECH HD Webcam | Newark element14,title: Logitech HD Webcam C310 Cables & Cords | All Tech Toys,True,True,True,True,True,True,True
title: Canon CB-2LX Battery Charger  Canon Charger - 1133B001 Camera & Camcorder Chargers CDW.com,title: Canon Battery Charger CB-2LX Accessories - Page 938 | EISF,True,True,True,True,True,True,True
title: Sony a6000 w/16-50mm Power Zoom (Silver) (ILCE6000L/S) w/ Lexar Professional 633x 64GB SDXC Card  Aden Camera Digital Cameras Toronto Canada Store  Sony <br/> | SLR,title: Sony a6000 Body (Black) (ILCE6000/B) w/ Lexar Professional 633x 64GB SDXC Card   Sony <br/> | Digital SLR Camera Toronto Canada Store Cameras Aden,False,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 (D) EX DC AF Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 (D) EX DC Autofocus Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 (D) EX DC AF Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 (D) EX DC Autofocus Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 (D) EX DC AF Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 (D) EX DC Autofocus Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: Sigma 10-20mm f/4-5.6 (D) EX DC AF Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,title: Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 (D) EX DC Autofocus Lens for Sony Alpha Digital SLR Cameras Cameras - Fumfie.com,True,True,True,True,True,True,True
title: GoPro Rechargeable Battery (for HERO4 Black/HERO4 Silver) (GoPro Official Accessory) Accessories - Page 985 | EISF,title: Sony 32GB HDR-PJ540 Full HD Handycam Camcorder with Built-in Projector (Black) + Accessory Bundle - Fumfie.com,False,False,False,False,False,False,False
"title: Arlo Security System - 2 Wire-Free HD Cameras, Indoor/Outdoor, Night Vision (VMS3230) Surveillance Systems | EISF","title: Home Video Surveillance System, Indoor / Outdoor, Bullet, Dome, IR System | & Outdoor",False,False,False,False,True,True,True
title: Logitech C920-C Webcam (Business Product) with 1080p HD Video Certified for Cisco Jabber Computer Accessories & Peripherals - Page 1981 | Laptops Outlet Direct,title: Philips SPC200NC/00 640 x 480pixels webcam Product data Philips webcam (SPC200NC/00 8710895861304),False,False,False,False,False,False,True
title: GoPro Floating Hand Grip Action Camera Mount Mount LN68139 - AFHGM-001 | SCAN UK,title: Action outdoor Floating Hand Grip Bobber Bobber buy and offers on Bikeinn,False,False,False,True,True,False,False
title: Full HD Outdoor Vandal Proof PoE Dome Camera DCS-4602EV Full Camera | D-Link,title: Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera DCS-7010L Outdoor Camera | D-Link,False,False,False,False,False,False,True
title: Full HD Outdoor Vandal Proof PoE Dome Camera DCS-4602EV Full Camera | D-Link,title: Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera DCS-7010L Outdoor Camera | D-Link,False,False,False,False,False,False,True
title: Full HD Outdoor Vandal Proof PoE Dome Camera DCS-4602EV Full Camera | D-Link,title: Outdoor HD PoE Day/Night Fixed Mini Bullet Cloud Camera DCS-7010L Outdoor Camera | D-Link,False,False,False,False,False,False,True
